Department,Organisation,Check Date,Expense type,Supplier,Invoice number,Invoice Amount,Postcode
DFI,Department for Infrastructure,30/07/2026,C - Managed Services,AECOM LIMITED,28629282,"£44,008.52",RG21 7PP
DFI,Department for Infrastructure,30/07/2026,"Other Creditor (Non-Imprest Deposits, holding deposits, and damage deposits)",ACORN DEVELOPMENTS,EF06245402,"£29,400.00",BT7 3JE
DFI,Department for Infrastructure,30/07/2026,P - Contract Roads,CONTRACT SERVICES DGN LTD,30119,"£28,091.46",BT71 6HR
DFI,Department for Infrastructure,30/07/2026,C - Contract Other Services,COLAS (NI),39012,"£21,615.79",BT24 8AE
DFI,Department for Infrastructure,30/07/2026,P - Contract Roads,COLAS (NI),39012,"£3,811.74",BT24 8AE
DFI,Department for Infrastructure,30/07/2026,P - Interest - Other,ACORN DEVELOPMENTS,EF06245402,"£3,746.49",BT7 3JE
DFI,Department for Infrastructure,31/07/2026,C - Contract Other Services,FP MCCANN LTD,67598,"£875,665.49",BT45 8QA
DFI,Department for Infrastructure,31/07/2026,C - Contract Other Services,KEENAN P (CONTRACTOR),041-SDN1-2016,"£726,689.44",BT45 8QE
DFI,DVA,31/07/2026,Fixed Asset Clearing Account,HENRY BROTHERS LIMITED,ERS-DFI-EF00894627-ERS-23,"£365,584.57",BT45 6HJ
DFI,Department for Infrastructure,31/07/2026,C - Contract Other Services,PETER FITZPATRICK LTD,6271,"£198,877.61",BT34 5TJ
DFI,Department for Infrastructure,31/07/2026,Cost Pass-Through Control,FP MCCANN LTD,67595,"£180,122.83",BT45 8QA
DFI,Department for Infrastructure,31/07/2026,C - Contract Other Services,HIGHWAY BARRIER SOLUTIONS LTD,SI_HBS000929,"£135,891.47",BT8 6SA
DFI,DVA,31/07/2026,P - Contracted Out Testing Services,MAHA IRELAND LTD,43615,"£78,260.84",IE
DFI,Department for Infrastructure,31/07/2026,P - Contract Roads,JOHN MCQUILLAN CONTRACTS LTD,JMQ-SI00182,"£67,027.90",BT28 2SA
DFI,Department for Infrastructure,31/07/2026,Cost Pass-Through Control,FP MCCANN LTD,67597,"£66,557.44",BT45 8QA
DFI,Department for Infrastructure,31/07/2026,P - Contract Roads,PETER FITZPATRICK LTD,6272,"£63,855.72",BT34 5TJ
DFI,Department for Infrastructure,31/07/2026,P - Contract Roads,GREENTOWN ENVIRONMENTAL LTD,15474,"£55,112.44",BT92 1DE
DFI,Department for Infrastructure,31/07/2026,P - Contract Roads,HIGHWAY BARRIER SOLUTIONS LTD,SI_HBS000929,"£55,051.32",BT8 6SA
DFI,Department for Infrastructure,31/07/2026,P - Contract Roads,CONTRACT SERVICES DGN LTD,30130,"£49,394.87",BT71 6HR
DFI,Department for Infrastructure,31/07/2026,C - Contract Other Services,FP MCCANN LTD,67588,"£41,974.16",BT45 8QA
DFI,Department for Infrastructure,31/07/2026,Fixed Asset Clearing Account,GAIST SOLUTIONS LIMITED,12406,"£34,625.24",BD23 2TZ
DFI,Department for Infrastructure,31/07/2026,P - Contract Roads,NORTHERN ROAD MARKINGS LTD,17421,"£34,325.98",BT51 5TE
DFI,Department for Infrastructure,31/07/2026,P - Contract Roads,CONTRACT SERVICES DGN LTD,29820,"£31,688.17",BT71 6HR
DFI,Department for Infrastructure,31/07/2026,P - Contract Roads,CONTRACT SERVICES DGN LTD,30129,"£26,426.10",BT71 6HR
DFI,Department for Infrastructure,31/07/2026,C - Contract Other Services,PETER FITZPATRICK LTD,6272,"£19,736.38",BT34 5TJ
