Department,Organisation,Check Date,Expense type,Supplier,Invoice number,Invoice Amount,Postcode
DFI,Department for Infrastructure,16/07/2026,C - Contract Other Services,JOHN MCQUILLAN CONTRACTS LTD,CE-JOB26753-003,"£55,509.31",BT28 2SA
DFI,Department for Infrastructure,17/07/2026,P - Contract Roads,AMEY ROADS NI LIMITED,RINV/150,"£5,166,310.64",CM1 1JR
DFI,Department for Infrastructure,17/07/2026,Grants to Public Corporations(PCs) (Capital),TRANSLINK*GRANTEE,ERS-DFI-EF00573782-ERS-1192,"£958,418.00",BT2 7LX
DFI,Department for Infrastructure,17/07/2026,Grants to Public Corporations(PCs) (Capital),TRANSLINK*GRANTEE,ERS-DFI-EF00573782-ERS-1195,"£488,460.00",BT2 7LX
DFI,Department for Infrastructure,17/07/2026,Grants to Public Corporations(PCs) (Capital),TRANSLINK*GRANTEE,ERS-DFI-EF00573784-ERS-976,"£357,095.00",BT2 7LX
DFI,Department for Infrastructure,17/07/2026,C - Contract Other Services,JOHN MCQUILLAN CONTRACTS LTD,CE-JOB26753-004,"£282,406.51",BT28 2SA
DFI,Department for Infrastructure,17/07/2026,Grants to Public Corporations(PCs) (Capital),TRANSLINK*GRANTEE,ERS-DFI-EF00573765-ERS-962,"£275,000.00",BT3 9BG
DFI,Department for Infrastructure,17/07/2026,Grants to Public Corporations(PCs) (Capital),TRANSLINK*GRANTEE,ERS-DFI-EF00573782-ERS-1196,"£265,511.00",BT2 7LX
DFI,Department for Infrastructure,17/07/2026,Grants to Public Corporations(PCs) (Capital),TRANSLINK*GRANTEE,ERS-DFI-EF00573765-ERS-963,"£242,500.00",BT3 9BG
DFI,Department for Infrastructure,17/07/2026,Subsidies to Public Corporations (Current),TRANSLINK*GRANTEE,ERS-DFI-EF00573782-ERS-1194,"£51,058.03",BT2 7LX
DFI,Department for Infrastructure,17/07/2026,Cost Pass-Through Control,WHITEMOUNTAIN QUARRIES LTD,26886,"£43,275.98",BT36 4TZ
DFI,Department for Infrastructure,17/07/2026,Grants to Public Corporations(PCs) (Capital),TRANSLINK*GRANTEE,ERS-DFI-EF00573782-ERS-1193,"£40,600.00",BT2 7LX
DFI,Department for Infrastructure,17/07/2026,C - Contract Other Services,JOHN MCQUILLAN CONTRACTS LTD,CE-JOB26770-002,"£30,958.75",BT28 2SA
DFI,Department for Infrastructure,20/07/2026,Grants to Public Corporations(PCs) (Capital),TRANSLINK*GRANTEE,ERS-DFI-EF00573782-ERS-1198,"£1,136,208.00",BT2 7LX
DFI,Department for Infrastructure,20/07/2026,Grants to Public Corporations(PCs) (Capital),TRANSLINK*GRANTEE,ERS-DFI-EF00573782-ERS-1197,"£1,038,617.00",BT2 7LX
DFI,Department for Infrastructure,20/07/2026,C - Contract Other Services,JOHN MCQUILLAN CONTRACTS LTD,CE-JOB26613-011,"£366,244.20",BT28 2SA
DFI,Department for Infrastructure,20/07/2026,Grants to Public Corporations(PCs) (Capital),COLERAINE HARBOUR COMMISSIONERS*GRANTEE,ERS-DFI-EF00964990-ERS-5,"£351,763.96",BT52 1XA
DFI,Department for Infrastructure,20/07/2026,Fixed Asset Clearing Account,DENNISON COMMERCIALS LTD,60024511,"£151,200.00",BT39 9DS
DFI,Department for Infrastructure,20/07/2026,P - Contract Roads,ROAD SAFETY CONTRACTS LTD,46432,"£115,719.08",BT46 5JG
DFI,DVA,20/07/2026,P - Contracted Out Testing Services,MAHA IRELAND LTD,43446,"£86,992.63",IE
DFI,Department for Infrastructure,20/07/2026,Cost Pass-Through Control,FP MCCANN LTD,67127,"£77,969.87",BT45 8QA
DFI,Department for Infrastructure,20/07/2026,Cost Pass-Through Control,FP MCCANN LTD,67129,"£73,141.37",BT45 8QA
DFI,Department for Infrastructure,20/07/2026,C - Contract Other Services,PETER FITZPATRICK LTD,6234,"£68,260.39",BT34 5TJ
DFI,Department for Infrastructure,20/07/2026,C - Contract Other Services,PETER FITZPATRICK LTD,6228,"£67,149.67",BT34 5TJ
DFI,Department for Infrastructure,20/07/2026,C - Contract Other Services,PETER FITZPATRICK LTD,6231,"£65,352.83",BT34 5TJ
DFI,Department for Infrastructure,20/07/2026,C - Contract Other Services,FOX BUILDING & CIVIL ENGINEERING LTD,SIN006128,"£59,793.89",BT79 9PU
DFI,Department for Infrastructure,20/07/2026,Cost Pass-Through Control,FP MCCANN LTD,67128,"£58,967.72",BT45 8QA
DFI,Department for Infrastructure,20/07/2026,Grants to Public Corporations(PCs) (Capital),TRANSLINK*GRANTEE,ERS-DFI-EF00573782-ERS-1199,"£42,911.00",BT2 7LX
DFI,Department for Infrastructure,20/07/2026,C - Contract Other Services,PETER FITZPATRICK LTD,6233,"£41,494.07",BT34 5TJ
DFI,Department for Infrastructure,20/07/2026,Fixed Asset Clearing Account,DENNISON COMMERCIALS LTD,60024648,"£36,540.00",BT39 9DS
DFI,Department for Infrastructure,20/07/2026,P - Contract Roads,ROAD SAFETY CONTRACTS LTD,46435,"£34,952.18",BT46 5JG
DFI,Department for Infrastructure,20/07/2026,C - Managed Services,AMEY OW LTD,90989794,"£29,433.00",L19 2PH
DFI,Department for Infrastructure,20/07/2026,C - Contract Other Services,PETER FITZPATRICK LTD,6232,"£29,397.44",BT34 5TJ
DFI,Department for Infrastructure,20/07/2026,C - Contract Other Services,PETER FITZPATRICK LTD,6229,"£29,004.97",BT34 5TJ
DFI,Department for Infrastructure,20/07/2026,P - Contract Roads,ALLIED PUBLICITY SERVICES LTD,C104867,"£26,978.58",SK3 0ZP
DFI,Department for Infrastructure,21/07/2026,C - Contract Other Services,AMELIO UTILITIES LTD,14042,"£86,936.41",BT11 8BU
DFI,Department for Infrastructure,21/07/2026,Grants to Public Corporations(PCs) (Capital),TRANSLINK*GRANTEE,ERS-DFI-EF00573782-ERS-1203,"£1,895,785.00",BT2 7LX
DFI,Department for Infrastructure,21/07/2026,Grants to Public Corporations(PCs) (Capital),TRANSLINK*GRANTEE,ERS-DFI-EF00573782-ERS-1200,"£966,016.00",BT2 7LX
